language,tau,rho,hbar,cov_norm,theta,exact_gain_norm,auto_tasks,approx_error_pct
Java,0.6243333333333333,1.0669444218742754,1.1254149801260984,0.0033443284844949742,0.6661289673901726,0.6682169431406589,7492,0.3124697408408638
Go,0.6039166666666667,0.9710826376281327,1.2066879907937855,0.0007042595851585753,0.5864529895742565,0.5868783036753935,7247,0.07247057839307038
C++,0.5615833333333333,0.9329476031208759,1.0668773153702478,-0.006891937402413772,0.5239278247859652,0.520057427606393,6739,-0.7442249594215186
JavaScript,0.5434166666666667,0.8779716110821671,1.0121652786578654,0.008014445827101329,0.47710440632223433,0.4814595897587783,6521,0.904579227246464
PHP,0.4930833333333333,0.812849640514227,1.3054404819144367,0.005666299931845784,0.4008026102435568,0.4035965683016177,5917,0.6922650680153792
Python,0.4676666666666667,0.7669464463710403,1.1498254142240059,3.2349611629299695e-05,0.3586752880861898,0.3586904169212285,5612,0.004217797388772351
C,0.4285,0.7560579056697957,1.0811981564183977,0.004304927398015503,0.32397081257950744,0.32581547396955707,5142,0.5661675203989811
TypeScript,0.39125,0.7137850424639685,1.2338732895642912,0.01072018463852557,0.27926839786402763,0.2834626701038508,4695,1.4796559413931034
Ruby,0.36583333333333334,0.6725138154291193,1.3520075679391497,-2.7865766733193553e-05,0.2460279708111528,0.2460177765848229,4390,-0.00414369500911883
C#,0.3408333333333333,0.6374615054346846,1.272558000246555,0.003998800780868633,0.21726812976898832,0.21863105436846775,4090,0.6233902148147875
